afac_city,afac_country,action,dim_city,airport_iata,note
"NORFOLK",Estados Unidos,exclude,,OFK,"Homonimo: Norfolk, Nebraska, a 1903 km"
"TOKYO",Japon,map_airport,,NRT,"Area IATA TYO; Narita recibe los vuelos a Mexico (captura 2026M04). dim_airport lo registra como Narita"
"TOKYO",Japon,map_airport,,HND,"Area IATA TYO; Haneda"
"PARIS",Francia,map_airport,,CDG,"Area IATA PAR; dim_airport registra Roissy-en-France. Antes la coincidencia exacta tomaba solo Le Bourget (LBG), aviacion ejecutiva"
"PARIS",Francia,map_airport,,ORY,"Area IATA PAR; dim_airport registra Orly"
"WASHINGTON",Estados Unidos,map_airport,,IAD,"Area IATA WAS; dim_airport registra Dulles. Los vuelos a Mexico operan en IAD"
"WASHINGTON",Estados Unidos,map_airport,,DCA,"Area IATA WAS; Reagan National"
"BUENOS AIRES",Argentina,map_airport,,EZE,"Area IATA BUE; dim_airport registra Ezeiza. Los vuelos a Mexico operan en EZE"
"BUENOS AIRES",Argentina,map_airport,,AEP,"Area IATA BUE; Aeroparque"
"SAN SALVADOR",El Salvador,map_airport,,SAL,"dim_airport registra San Luis Talpa. Antes la coincidencia exacta tomaba solo Ilopango (ILS), sin vuelos regulares a Mexico"
"DALLAS-FORT WORTH",Estados Unidos,map_airport,,DFW,"Area IATA DFW"
"DALLAS-FORT WORTH",Estados Unidos,map_airport,,DAL,"Area IATA DFW; Love Field, operado por Southwest hacia Mexico (captura 2026M04)"
